0;Apple;5,99
1;Banana;2,49
2;Orange;3,99
3;Strawberries;8,75
4;Grapes;6,5
5;Fig;18,99
6;Watermelon;12,99
7;Pineapple;9,25
8;Mango;4,75
9;Peach;3,25
10;Plum;2,99
11;Cherry;7,5
12;Blueberries;5,95
13;Carrot;1,25
14;Broccoli;2,75
15;Lettuce;1,99
16;Tomato;2,5
17;Cucumber;1,75
18;Bell Pepper;3,5
19;Potato;1,5
20;Onion;1,25
21;Garlic;2,25
22;Ginger;4,99
23;Avocado;7,99
24;Lemon;1,75
25;Lime;1,5
26;Cantaloupe;6,25
27;Honeydew;5,75
28;Pomegranate;9,5
29;Kiwi;3,25
30;Watercress;2,75
31;Spinach;3,99
32;Kale;4,5
33;Asparagus;5,25
34;Zucchini;2,95
35;Eggplant;3,75
36;Cabbage;2,5
37;Cauliflower;3,25
38;Radish;1,99
39;Artichoke;4,5
40;Sweet Potato;2,75
41;Pumpkin;4,25
42;Butternut Squash;3,99
43;Acorn Squash;5,75
44;Quinoa;6,99
45;Brown Rice;2,5
46;White Rice;1,99
47;Oats;3,25
48;Barley;4,5
49;Couscous;5,75
50;Lentils;2,99
51;Chickpeas;1,75
52;Black Beans;3,5
53;Kidney Beans;2,25
54;Pinto Beans;1,99
55;Salmon;12,5
56;Tuna;4,99
57;Shrimp;9,75
58;Chicken Breast;6,25
59;Ground Beef;7,5
60;Pork Chops;8,99
61;Bacon;5,75
62;Eggs;2,25
63;Milk;3,5
64;Yogurt;4,25
65;Cheese;5,99
66;Butter;2,75
67;Bread;2,5
68;Baguette;3,75
69;Pasta;1,99
70;Spaghetti;2,75
71;Rice Noodles;4,5
72;Whole Wheat Flour;3,25
73;Sugar;1,99
74;Honey;5,5
75;Maple Syrup;4,25
76;Olive Oil;6,99
77;Vegetable Oil;3,5
78;Balsamic Vinegar;2,99
79;Soy Sauce;1,75
80;Ketchup;2,25
81;Mustard;1,5
82;Mayonnaise;3,25
83;Hot Sauce;1,99
84;Coffee;7,5
85;Tea;2,99
86;Orange Juice;3,25
87;Apple Juice;2,5
88;Soda;1,75
89;Bottled Water;1,25